SAMPLE_ID,FAP_zscore_baseline,cycles_until_window_closes
TCGA-04-1337-01,4.201683483767056,0
TCGA-04-1517-01,-0.6261510206448875,7
TCGA-04-1542-01,-0.7004863907600375,8
TCGA-09-0366-01,-0.6192130527674735,7
TCGA-09-1659-01,-0.48838280136480944,5
TCGA-09-1662-01,-0.2049172566590374,3
TCGA-09-1667-01,-0.12166164213006937,2
TCGA-09-1673-01,-0.5607358949435555,6
TCGA-09-1674-01,-0.5191080876790715,6
TCGA-09-2051-01,-0.5072144284606475,6
TCGA-10-0934-01,-0.7004863907600375,8
TCGA-10-0938-01,-0.6975129759554315,7
TCGA-13-0724-01,-0.5795675220393934,6
TCGA-13-0727-01,-0.6330889885223014,7
TCGA-13-0730-01,-0.5865054899168075,6
TCGA-13-0801-01,-0.5409131295795154,6
TCGA-13-0804-01,-0.6806636253959975,7
TCGA-13-0883-01,1.7813238328177712,0
TCGA-13-0885-01,-0.5934434577942215,6
TCGA-13-1408-01,2.203548735071823,0
TCGA-13-1411-01,2.8021962490658314,0
TCGA-13-2060-01,-0.13652871615309936,2
TCGA-20-1683-01,-0.3307918167206914,4
TCGA-20-1684-01,-0.5577624801389495,6
TCGA-20-1685-01,-0.5458688209205255,6
TCGA-23-1024-01,-0.6985041142236335,7
TCGA-23-1027-01,0.9150689864092229,0
TCGA-23-1030-01,-0.5131612580698595,6
TCGA-23-1109-01,-0.2405982343143094,3
TCGA-23-1111-01,-0.47648914214638544,5
TCGA-23-1116-01,0.41751757577181875,0
TCGA-23-1118-01,-0.5478510974569295,6
TCGA-23-1122-01,-0.31691588096586343,4
TCGA-23-1123-01,-0.6370535415951095,7
TCGA-24-0975-01,0.5037466051053927,0
TCGA-24-0982-01,-0.5468599591887274,6
TCGA-24-1413-01,-0.6697611044457755,7
TCGA-24-1422-01,3.2045983859558436,0
TCGA-24-1424-01,0.1905469123535607,0
TCGA-24-1425-01,2.270946137309559,0
TCGA-24-1434-01,5.761735117917004,0
TCGA-24-1471-01,-0.6330889885223014,7
TCGA-24-1544-01,-0.6905750080780175,7
TCGA-24-1550-01,0.059716660950896665,0
TCGA-24-1552-01,-0.48540938656020344,5
TCGA-24-1556-01,-0.2703323823603694,3
TCGA-24-1558-01,-0.5200992259472734,6
TCGA-24-1603-01,-0.5399219913113135,6
TCGA-24-1843-01,-0.3843132832035994,4
TCGA-24-1846-01,0.3293062699018407,0
TCGA-24-1849-01,2.7704798244833673,0
TCGA-24-2019-01,-0.5319928851656974,6
TCGA-24-2020-01,-0.4963119075104254,5
TCGA-24-2023-01,-0.6539028921545434,7
TCGA-24-2035-01,0.2757848034189327,0
TCGA-24-2038-01,-0.6469649242771295,7
TCGA-24-2261-01,0.7554957252287008,0
TCGA-24-2289-01,2.670374859394965,0
TCGA-24-2293-01,3.7913522407314275,0
TCGA-25-1317-01,-0.11175025944804937,2
TCGA-25-1328-01,0.40265050174878875,0
TCGA-25-1329-01,1.085544768539967,0
TCGA-25-1625-01,-0.45864865331874943,5
TCGA-25-1631-01,-0.6687699661775734,7
TCGA-25-1635-01,1.2510648593297011,0
TCGA-25-1877-01,-0.38827783627640744,4
TCGA-25-2042-01,3.4672500270293733,0
TCGA-25-2398-01,1.797182045109003,0
TCGA-25-2399-01,0.6028604319255928,0
TCGA-25-2404-01,0.5235693704694327,0
TCGA-29-1690-01,0.5285250618104428,0
TCGA-29-1695-01,1.642564475269491,0
TCGA-29-1699-01,0.6018692936573907,0
TCGA-29-1701-01,0.8080260534434068,0
TCGA-29-1702-01,-0.5200992259472734,6
TCGA-29-1703-01,-0.3744019005215794,4
TCGA-29-1705-02,0.8912816679723748,0
TCGA-29-1710-01,1.254038274134307,0
TCGA-29-1761-01,-0.47648914214638544,5
TCGA-29-1762-01,-0.6578674452273515,7
TCGA-29-1763-01,-0.5894789047214135,6
TCGA-29-1766-01,0.08647739419235068,0
TCGA-30-1714-01,-0.6945395611508255,7
TCGA-36-1569-01,1.5672379668861391,0
TCGA-36-1571-01,-0.6093016700854534,7
TCGA-36-1576-01,3.3958880717188293,0
TCGA-36-1581-01,-0.4219765373952754,5
TCGA-57-1583-01,-0.14743123710332137,2
TCGA-57-1585-01,3.6089827993822596,0
TCGA-57-1993-01,-0.6737256575185835,7
TCGA-57-1994-01,-0.6400269563997155,7
TCGA-59-2354-01,2.5950483510116134,0
TCGA-59-A5PD-01,-0.38530442147180144,4
TCGA-5X-AA5U-01,-0.6152484996946654,7
TCGA-61-1721-01,-0.5161346728744655,6
TCGA-61-1728-01,-0.43188792007729543,5
TCGA-61-1900-01,-0.6687699661775734,7
TCGA-61-1918-01,-0.6102928083536555,7
TCGA-61-1919-01,1.4483013747018991,0
TCGA-61-2003-01,0.8337956484166589,0
TCGA-61-2092-01,-0.6925572846144215,7
TCGA-61-2095-01,0.2658734207369127,0
TCGA-61-2102-01,-0.03543261279649535,1
TCGA-61-2104-01,-0.5508245122615355,6
TCGA-61-2110-01,-0.6340801267905035,7
TCGA-61-2113-01,1.035987855129867,0
TCGA-OY-A56P-01,-0.5290194703610914,6
