SAMPLE_ID,ACACA,APOC1,CCL18,CCL19,CCND1,CD163,EIF4B,FASN,FOLR2,FOXO3,HIF1A,IDO1,IGF1R,INSR,IRS2,LAMP3,LGMN,MRC1,MS4A4A,MYC,PIK3R1,PRKAB1,RBPJ,RPS6,SLC22A1,SLC22A3,SLC47A1,TREM2,TSC2,ULK1
05387aad-2a1f-42c2-8d6f-950598,1197.0,51.0,149.0,4.0,11950.0,514.0,18788.0,1359.0,125.0,1657.0,6085.0,225.0,5364.0,3253.0,1571.0,206.0,927.0,737.0,182.0,1715.0,1306.0,1099.0,3276.0,66301.0,6.0,168.0,229.0,61.0,2382.0,978.0
08296da7-70ea-44df-8646-09f2cc,1400.0,930.0,139.0,638.0,2248.0,2139.0,9758.0,1644.0,260.0,2810.0,3966.0,177.0,2045.0,1855.0,845.0,671.0,2654.0,346.0,487.0,2957.0,1622.0,614.0,3286.0,20445.0,16.0,111.0,44.0,97.0,1915.0,1128.0
0c87932d-b6fd-4eb5-b86a-a34d07,575.0,1835.0,115.0,102.0,4867.0,4868.0,11444.0,368.0,271.0,1123.0,3072.0,506.0,760.0,486.0,140.0,489.0,1984.0,484.0,554.0,510.0,1441.0,870.0,2880.0,34017.0,2.0,6.0,15.0,1142.0,293.0,2513.0
0cc794c3-5bf5-4621-b238-58a0f6,711.0,288.0,26.0,7.0,1286.0,315.0,21762.0,266.0,25.0,955.0,2757.0,511.0,541.0,391.0,1040.0,51.0,717.0,93.0,109.0,2254.0,2549.0,479.0,2584.0,109567.0,5.0,6.0,6.0,320.0,267.0,131.0
11b5a745-03a6-4c05-9000-534bf3,713.0,1293.0,64.0,168.0,1995.0,1795.0,17776.0,543.0,341.0,579.0,4406.0,3698.0,348.0,471.0,165.0,258.0,2680.0,499.0,955.0,1488.0,1651.0,478.0,2217.0,69102.0,1.0,78.0,56.0,627.0,382.0,97.0
15524912-685a-47ce-a824-567848,802.0,1588.0,30.0,71.0,3346.0,1301.0,6578.0,572.0,106.0,2274.0,3518.0,429.0,1223.0,1024.0,1105.0,666.0,1549.0,133.0,499.0,166.0,1820.0,1155.0,2493.0,29820.0,17.0,27.0,43.0,581.0,468.0,591.0
161317f3-1a39-438e-af45-cd2502,680.0,1516.0,422.0,282.0,973.0,2151.0,11037.0,91.0,203.0,2753.0,4877.0,594.0,562.0,1141.0,796.0,265.0,1666.0,246.0,689.0,2204.0,1874.0,357.0,2178.0,61426.0,9.0,41.0,15.0,1001.0,152.0,219.0
1772e913-f62e-446a-8cf3-720348,1132.0,463.0,9.0,36.0,884.0,3322.0,12600.0,1108.0,199.0,1604.0,4635.0,851.0,1262.0,535.0,307.0,305.0,2032.0,466.0,423.0,3447.0,1429.0,776.0,3345.0,42020.0,12.0,82.0,86.0,931.0,1905.0,729.0
1a10c200-3895-4648-b951-94f99f,1133.0,961.0,363.0,19.0,393.0,1118.0,12434.0,439.0,237.0,3306.0,4063.0,440.0,168.0,819.0,3436.0,271.0,3171.0,345.0,462.0,573.0,1826.0,2263.0,4327.0,35601.0,1.0,23.0,34.0,917.0,1650.0,648.0
1b2ab076-c72f-4bbe-b9f9-657d24,959.0,467.0,42.0,186.0,1322.0,938.0,10980.0,459.0,242.0,647.0,4540.0,203.0,640.0,573.0,1100.0,147.0,2875.0,259.0,550.0,319.0,2124.0,939.0,2714.0,49601.0,3.0,29.0,78.0,607.0,888.0,625.0
1c9145ad-1981-4871-aa7e-8b11de,2886.0,353.0,107.0,95.0,753.0,3606.0,8299.0,4925.0,307.0,2646.0,6414.0,1087.0,903.0,790.0,190.0,2397.0,2122.0,276.0,395.0,1983.0,1823.0,440.0,2053.0,35973.0,6.0,63.0,18.0,353.0,1573.0,701.0
1de8d3d8-fc0e-4be0-8aa7-127c7b,296.0,575.0,39.0,49.0,1078.0,895.0,10199.0,87.0,261.0,208.0,2663.0,1124.0,88.0,381.0,147.0,35.0,964.0,514.0,920.0,1116.0,563.0,329.0,2492.0,107255.0,0.0,21.0,1.0,619.0,93.0,104.0
2115808b-6a0d-49bc-a8d7-b83bde,820.0,463.0,78.0,127.0,1082.0,2384.0,14469.0,1752.0,382.0,1923.0,4736.0,272.0,1333.0,912.0,1123.0,378.0,1774.0,835.0,668.0,2282.0,2119.0,792.0,4142.0,60566.0,3.0,171.0,131.0,438.0,850.0,928.0
2224c03f-b7b1-4368-887e-2b4cdf,1134.0,609.0,20.0,67.0,1625.0,5178.0,10315.0,2790.0,456.0,1791.0,5103.0,640.0,3314.0,925.0,1057.0,517.0,3249.0,624.0,457.0,1808.0,1832.0,864.0,3531.0,37284.0,6.0,39.0,30.0,576.0,2760.0,732.0
2433b136-fc7b-4cea-b958-bc6efb,1148.0,276.0,4.0,0.0,685.0,337.0,11364.0,190.0,50.0,595.0,2827.0,48.0,175.0,331.0,103.0,52.0,1578.0,125.0,119.0,1311.0,5228.0,681.0,1654.0,59822.0,2.0,25.0,12.0,481.0,579.0,294.0
2563cb02-d58a-4286-8634-7502cd,922.0,600.0,3.0,80.0,935.0,1275.0,9944.0,279.0,208.0,1264.0,3727.0,1195.0,911.0,1112.0,385.0,125.0,1493.0,240.0,519.0,1603.0,1026.0,1023.0,1858.0,34892.0,2.0,15.0,24.0,1362.0,675.0,231.0
256ac9f5-1e19-44b4-92fb-fef3fc,611.0,934.0,1673.0,20.0,1846.0,1368.0,6400.0,512.0,130.0,371.0,4520.0,5244.0,273.0,235.0,700.0,516.0,1622.0,70.0,395.0,342.0,1659.0,760.0,779.0,38831.0,0.0,21.0,7.0,190.0,645.0,427.0
27f3ca2d-a86f-479d-8e7e-5307c7,927.0,264.0,21.0,1.0,2336.0,1695.0,9264.0,384.0,300.0,1316.0,4070.0,357.0,2893.0,1685.0,194.0,341.0,1637.0,347.0,326.0,983.0,1278.0,818.0,1667.0,36695.0,3.0,6.0,5.0,433.0,2247.0,323.0
285fed94-1495-448e-879b-b55de9,983.0,1055.0,557.0,20.0,2912.0,2397.0,13505.0,607.0,392.0,2179.0,4843.0,2302.0,870.0,1264.0,463.0,896.0,2881.0,960.0,252.0,623.0,1573.0,706.0,3925.0,52698.0,6.0,3.0,51.0,566.0,2032.0,604.0
28d0abdb-f682-4bd3-9425-a9c508,1100.0,783.0,433.0,60.0,1665.0,3175.0,9548.0,731.0,262.0,1053.0,7411.0,111.0,902.0,223.0,196.0,425.0,3578.0,945.0,1090.0,836.0,1879.0,971.0,2456.0,30328.0,4.0,47.0,44.0,660.0,709.0,478.0
2a237fd4-f966-4563-bab1-61dbd7,515.0,864.0,91.0,17.0,8202.0,1692.0,11308.0,249.0,420.0,1120.0,6559.0,813.0,612.0,520.0,503.0,194.0,2943.0,516.0,1148.0,1015.0,1509.0,597.0,1998.0,51206.0,3.0,2.0,33.0,589.0,364.0,286.0
2b4ce90c-8036-4207-ac3e-54a76f,1061.0,699.0,41.0,47.0,574.0,1362.0,3993.0,565.0,183.0,2640.0,3007.0,1191.0,1263.0,662.0,662.0,535.0,1257.0,246.0,478.0,858.0,1043.0,613.0,2801.0,57997.0,4.0,29.0,29.0,247.0,1004.0,981.0
2dc28da8-7ff1-4b9b-b5bd-17cc25,515.0,238.0,6.0,28.0,613.0,1002.0,9421.0,353.0,344.0,522.0,1714.0,314.0,697.0,252.0,78.0,351.0,1740.0,297.0,238.0,580.0,756.0,673.0,3486.0,57299.0,13.0,3.0,61.0,215.0,693.0,465.0
2ed8beb2-bc63-4bad-b5fe-1916a0,1088.0,312.0,213.0,4.0,4043.0,2460.0,20096.0,1506.0,398.0,1121.0,5058.0,363.0,2863.0,1085.0,249.0,363.0,2138.0,1115.0,553.0,3240.0,1612.0,978.0,4188.0,76431.0,3.0,15.0,205.0,475.0,2415.0,683.0
2f901c90-617e-46da-9fac-d68369,931.0,402.0,51.0,3.0,489.0,872.0,7176.0,289.0,156.0,1030.0,7599.0,10420.0,87.0,141.0,128.0,221.0,1431.0,191.0,352.0,1243.0,1909.0,461.0,1078.0,31478.0,3.0,19.0,8.0,344.0,442.0,221.0
308ad404-7079-4ff8-8232-12ee2e,3053.0,91.0,12.0,8.0,3479.0,465.0,20173.0,720.0,64.0,902.0,3571.0,121.0,1590.0,917.0,633.0,183.0,2862.0,174.0,273.0,3816.0,572.0,865.0,1490.0,136404.0,5.0,20.0,140.0,132.0,370.0,478.0
347e379b-77c0-4dd3-aa25-18c9d1,1093.0,652.0,70.0,607.0,661.0,5885.0,9732.0,2113.0,568.0,4018.0,14726.0,2718.0,2508.0,895.0,803.0,766.0,4444.0,1197.0,938.0,1854.0,4605.0,907.0,2687.0,36013.0,29.0,108.0,113.0,801.0,1940.0,1069.0
3490835c-c004-45ed-91f3-7c206f,1535.0,397.0,31.0,50.0,1013.0,3509.0,12792.0,5474.0,437.0,2146.0,5610.0,784.0,2552.0,1644.0,2586.0,169.0,2711.0,876.0,422.0,4256.0,2701.0,826.0,4035.0,57264.0,6.0,49.0,66.0,526.0,1924.0,1721.0
35a345a4-e954-4c81-ae3f-7797cd,1690.0,70.0,29.0,1.0,13133.0,643.0,8122.0,2774.0,119.0,2667.0,4818.0,129.0,1980.0,441.0,2107.0,210.0,1910.0,157.0,88.0,1745.0,1040.0,886.0,2064.0,19837.0,4.0,14.0,52.0,73.0,4001.0,2359.0
38f29517-c046-4da5-ba0d-67d614,662.0,546.0,44.0,17.0,1099.0,2072.0,12361.0,457.0,315.0,1382.0,5217.0,400.0,522.0,488.0,449.0,231.0,2179.0,323.0,600.0,662.0,1508.0,350.0,1917.0,57931.0,7.0,324.0,32.0,568.0,1075.0,390.0
3946a96c-e0ae-442f-83b4-a9350e,849.0,1842.0,74.0,384.0,1544.0,2103.0,14827.0,384.0,187.0,1856.0,5384.0,383.0,532.0,634.0,533.0,193.0,3077.0,268.0,467.0,2422.0,1904.0,615.0,1622.0,54565.0,9.0,94.0,128.0,1402.0,687.0,346.0
3a380577-c134-47ba-a1ce-988d7c,640.0,59.0,19.0,2.0,4496.0,287.0,21083.0,229.0,147.0,460.0,1393.0,36.0,440.0,433.0,266.0,55.0,922.0,166.0,233.0,1784.0,516.0,597.0,1353.0,74788.0,3.0,7.0,146.0,327.0,494.0,269.0
3d3e1888-d67e-4c69-ba83-112d0f,873.0,565.0,246.0,157.0,9996.0,1104.0,12546.0,684.0,385.0,1034.0,7265.0,111.0,1239.0,511.0,260.0,83.0,2345.0,966.0,596.0,1242.0,1406.0,569.0,3245.0,61150.0,8.0,35.0,318.0,720.0,656.0,476.0
407c600a-c0ac-41a6-8d87-fd8a3c,717.0,267.0,19.0,6.0,5244.0,851.0,23209.0,121.0,272.0,428.0,2927.0,212.0,263.0,501.0,897.0,81.0,519.0,385.0,562.0,1625.0,7924.0,688.0,3953.0,55675.0,0.0,19.0,28.0,640.0,212.0,143.0
41d0619e-b299-42e2-ac32-29e784,1531.0,719.0,61.0,68.0,567.0,3202.0,10627.0,949.0,470.0,2258.0,4962.0,137.0,1663.0,591.0,421.0,182.0,2167.0,669.0,437.0,301.0,1316.0,696.0,3174.0,45681.0,5.0,54.0,80.0,1007.0,2406.0,798.0
42d860a3-8a0c-4c44-a09a-9ad8cf,2103.0,198.0,29.0,1.0,6133.0,1654.0,7673.0,5290.0,319.0,2452.0,9365.0,630.0,979.0,997.0,1366.0,1249.0,2926.0,352.0,249.0,932.0,1848.0,1098.0,4006.0,39385.0,3.0,84.0,30.0,283.0,2618.0,1331.0
44a9e976-f859-4a0d-9f4f-70b95b,1226.0,130.0,34.0,328.0,942.0,1304.0,10437.0,1597.0,326.0,2959.0,3716.0,2013.0,1983.0,1462.0,1156.0,788.0,1671.0,403.0,555.0,2521.0,1867.0,693.0,2989.0,42883.0,8.0,118.0,66.0,251.0,2738.0,602.0
467256db-a312-4346-9ac0-e49e44,2438.0,781.0,183.0,29.0,1207.0,4396.0,6663.0,2388.0,82.0,2250.0,17704.0,3012.0,304.0,710.0,237.0,3783.0,3215.0,207.0,518.0,2269.0,1891.0,830.0,4129.0,38705.0,2.0,54.0,13.0,288.0,498.0,508.0
46c73531-f531-4ec3-97fe-b39d9d,1597.0,360.0,146.0,163.0,6488.0,5817.0,10759.0,2047.0,754.0,2493.0,10876.0,592.0,1315.0,757.0,580.0,130.0,3565.0,887.0,1333.0,730.0,2449.0,608.0,3543.0,56597.0,8.0,54.0,33.0,414.0,1541.0,655.0
49bd51fe-48a1-4828-b66e-b30c38,1297.0,470.0,1.0,1.0,6671.0,1763.0,4690.0,1075.0,320.0,1165.0,6703.0,9.0,1758.0,285.0,349.0,100.0,3001.0,353.0,459.0,331.0,2262.0,962.0,2377.0,8458.0,11.0,28.0,134.0,699.0,2779.0,904.0
